2022-12-19 19:47:49.108 [http-nio-8181-exec-3] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 77697
2022-12-19 19:47:49.151 [http-nio-8181-exec-3] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:48:04.461 [http-nio-8181-exec-4] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:48:04.468 [http-nio-8181-exec-4] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:50:11.339 [http-nio-8181-exec-6] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:50:11.343 [http-nio-8181-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 126879
2022-12-19 19:50:11.407 [http-nio-8181-exec-6] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:50:33.802 [http-nio-8181-exec-8] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:50:33.807 [http-nio-8181-exec-8] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:51:07.939 [http-nio-8181-exec-9] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌信息列表
2022-12-19 19:51:07.943 [http-nio-8181-exec-9] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌信息列表结果返回
2022-12-19 19:51:43.377 [http-nio-8181-exec-10] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点霸凌事件的个数
2022-12-19 19:51:43.397 [http-nio-8181-exec-10] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点霸凌事件的个数的结果返回
2022-12-19 19:52:04.490 [http-nio-8181-exec-1] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:52:04.495 [http-nio-8181-exec-1] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:53:45.348 [http-nio-8181-exec-3] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:53:45.351 [http-nio-8181-exec-3] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 100857
2022-12-19 19:53:45.409 [http-nio-8181-exec-3] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:54:26.488 [http-nio-8181-exec-4] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:54:26.493 [http-nio-8181-exec-4] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:55:36.712 [http-nio-8181-exec-5] INFO  c.k.b.c.controller.RecordController - 进入Controller 每个地点选中的霸凌行为的详细信息展示
2022-12-19 19:55:36.717 [http-nio-8181-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/a, version : 1.2.5, lastPacketReceivedIdleMillis : 70224
2022-12-19 19:55:36.763 [http-nio-8181-exec-5] INFO  c.k.b.c.service.impl.RecordServiceImpl - Service层 每个地点选中的霸凌行为的详细信息展示的结果返回
2022-12-19 19:57:06.660 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-12-19 19:57:06.667 [main] INFO  c.kasuoda.bullyingsystem.BullyingsystemApplication - Starting BullyingsystemApplication using Java 1.8.0_212 on DESKTOP-AMGN17N with PID 19632 (D:\bullyingsystem\target\classes started by admin in D:\bullyingsystem)
2022-12-19 19:57:06.668 [main] INFO  c.kasuoda.bullyingsystem.BullyingsystemApplication - No active profile set, falling back to default profiles: default
2022-12-19 19:57:09.116 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-12-19 19:57:09.155 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 JPA repository interfaces.
2022-12-19 19:57:10.260 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8181 (http)
2022-12-19 19:57:10.355 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8181"]
2022-12-19 19:57:10.357 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-12-19 19:57:10.359 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-12-19 19:57:10.611 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-12-19 19:57:10.612 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3837 ms
2022-12-19 19:57:10.683 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-12-19 19:57:11.155 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
